SEX,EDUCATION,MARRIAGE,AGE,max_backlog_month,balance_to_credit,default payment next month
female,2,married,51,-1,0.0181,0
male,1,married,57,2,0.762595,1
male,2,married,56,2,0.4193,1
female,1,single,30,2,0.01590952380952381,0
female,3,single,29,2,0.07931538461538462,0
male,5,single,22,2,0.92825,0
male,1,single,31,-1,0.00975,0
male,2,single,29,2,0.19351875,1
female,2,married,32,2,0.02886,0
female,1,single,37,1,0.010879310344827586,0
male,1,single,32,-1,0.15942352941176471,0
male,2,single,24,2,0.92715,0
male,3,single,25,0,0.82158,0
female,1,married,45,-1,0.0,0
female,2,single,22,0,0.9922,1
female,2,single,44,1,0.0,1
female,3,others,33,0,0.3397914893617021,0
female,1,single,26,0,0.49945555555555554,0
male,3,single,30,0,0.45766666666666667,1
female,2,married,44,2,0.3476425,0
female,3,single,49,0,0.94466,0
male,2,single,33,0,0.785175,0
female,1,married,45,2,0.00325,1
female,2,single,32,0,0.053775,0
female,1,married,35,0,0.8682,0
male,3,single,44,2,0.6157,0
male,1,married,53,2,0.722655,1
female,1,single,39,0,0.02687142857142857,0
female,1,single,27,-2,0.05555,0
female,2,married,37,-1,0.00525,0
female,2,single,23,0,0.7755333333333333,0
male,2,single,35,0,0.9608222222222222,0
male,1,married,43,0,0.07325,0
male,1,single,27,0,0.5735133333333333,0
female,3,married,22,0,0.34622,0
male,2,married,38,0,0.94665,1
male,1,single,32,-2,0.06687142857142857,0
female,1,single,30,0,0.08503684210526316,0
male,1,married,63,2,1.0147208333333333,0
female,3,single,22,0,0.85862,1
female,2,single,26,2,1.0035333333333334,0
female,2,single,24,-1,0.35041428571428573,0
female,2,married,36,-1,0.0405875,0
male,1,single,52,-1,0.004428571428571428,0
male,2,single,38,0,1.3721692307692308,0
male,2,married,35,1,-0.0002861111111111111,0
female,1,married,31,2,0.32857878787878786,0
male,3,married,47,2,0.32786,0
male,2,married,41,3,0.5434785714285715,0
female,1,single,24,0,0.5768,0
male,2,single,41,0,0.39174,0
male,1,single,24,3,0.7106333333333333,1
male,1,single,28,-1,0.021666666666666667,0
male,2,single,26,2,0.214825,1
male,2,married,34,-1,0.0249575,0
female,2,single,38,0,0.21321666666666667,0
male,3,single,37,3,1.02286,1
male,1,married,40,1,0.0,1
female,1,married,48,1,0.0,0
female,2,married,35,2,0.9681129032258065,1
male,1,single,27,0,0.9702,0
male,2,single,23,1,0.0,0
male,3,single,52,0,0.532915,0
male,1,married,36,0,0.8837833333333334,1
male,2,married,51,0,0.13886,1
male,3,married,55,3,1.02405,0
female,1,single,23,1,0.2611,0
male,1,single,41,1,0.013754166666666666,0
male,2,married,34,0,0.5802619047619048,0
male,3,married,46,0,0.6715727272727273,0
female,2,single,22,0,0.8904,0
male,2,married,34,2,0.058991666666666664,0
male,1,single,27,0,0.16819333333333333,0
female,2,married,33,0,0.041376190476190476,0
female,3,married,51,-1,0.1176,1
male,1,single,24,0,0.97172,0
male,1,single,47,1,0.0,1
male,2,single,28,-1,0.010177777777777779,0
male,2,single,23,2,0.40366,0
male,2,single,29,-2,0.03438823529411765,0
male,1,single,29,0,0.7621,0
male,1,single,28,3,0.20276,0
female,2,single,27,0,0.12059411764705882,1
male,1,single,34,2,0.94618,0
female,2,married,23,3,0.1504125,0
female,1,married,60,1,0.0823076923076923,0
male,2,married,32,2,0.5940857142857143,0
male,1,single,25,0,0.6593,0
male,1,single,41,1,0.0054457142857142855,0
female,2,married,56,0,0.7169035714285714,0
female,3,single,26,0,0.4235333333333333,0
male,1,married,34,0,0.3149,0
female,1,single,37,0,0.5071,0
female,3,single,30,0,0.945175,0
male,3,married,45,6,0.6839380952380952,1
male,3,married,57,3,0.26966,0
male,1,single,41,2,0.9389333333333333,0
male,2,single,27,2,0.0216,0
male,3,married,47,0,0.002889655172413793,0
female,1,married,34,2,0.627432,0
female,2,married,46,0,0.4376,0
female,1,single,27,0,0.9259545454545455,0
male,1,single,50,-2,0.028664864864864865,0
male,2,married,27,2,0.99183,0
female,2,married,35,2,0.981,0
female,2,single,22,0,0.56768,0
male,2,single,37,0,0.1210925925925926,0
female,1,single,30,-1,0.010933333333333333,0
female,2,single,22,0,0.28546,0
female,1,single,24,1,-0.01418,1
male,1,single,29,1,0.0002138888888888889,0
male,3,married,56,3,0.5599692307692308,1
male,1,single,30,0,0.0710375,0
male,2,single,30,2,0.9772,0
female,2,single,22,0,0.73945,0
female,2,married,29,2,1.0101375,0
male,1,single,37,2,0.11085416666666667,0
female,3,single,35,0,0.46385,0
female,1,married,47,0,0.205934,0
female,2,married,24,0,0.9381833333333334,1
male,2,single,25,0,0.62345,0
female,2,married,38,2,0.16268,1
female,1,single,32,1,0.15154444444444445,0
female,3,single,47,2,1.00081,1
female,2,married,34,1,0.10057692307692308,0
female,2,single,31,5,1.08515,0
male,1,single,32,0,0.19628064516129032,0
female,1,single,27,2,0.3834166666666667,1
female,1,single,29,0,0.09381111111111111,0
female,1,single,24,2,0.12270555555555555,0
male,2,married,36,0,0.9158,0
female,1,single,24,2,0.8007,1
female,2,married,34,-2,0.01,0
female,1,single,22,0,0.9262,0
female,1,married,34,-1,0.002096,0
female,3,single,22,2,0.9910666666666667,1
female,1,married,38,-2,0.004166666666666667,0
male,1,single,31,2,0.19576428571428572,0
female,1,single,26,0,0.09299285714285714,0
male,2,single,26,0,0.976125,0
female,2,married,48,0,0.6344222222222222,0
male,3,married,43,0,0.9523,0
male,1,married,47,-1,0.01083,0
female,2,married,41,-1,0.013742857142857143,1
female,2,single,24,0,0.981925,1
female,1,married,50,-1,0.013718181818181819,0
male,1,single,24,0,0.47212272727272725,0
female,1,married,38,1,0.0011904761904761906,1
female,3,married,43,0,0.934925,0
male,2,single,39,2,0.8599666666666667,0
male,2,single,27,2,0.9989234042553191,0
male,3,married,42,2,0.044,0
female,2,married,36,1,-0.003941666666666666,1
male,2,single,36,2,0.9627,0
female,3,others,31,0,0.7817181818181819,0
female,1,single,38,-1,0.014245161290322581,0
female,1,married,40,2,0.3209388888888889,1
female,3,single,45,0,0.9804454545454545,0
female,2,single,35,0,0.9608733333333334,0
female,2,single,33,0,0.33275,0
female,3,single,37,3,1.05252,1
female,1,single,28,0,0.7431705882352941,0
male,3,married,44,-1,0.0037,0
male,2,married,37,0,0.91965,0
male,2,single,23,2,0.94714,1
female,3,single,24,2,0.9577,0
female,1,single,24,0,0.67588,0
male,2,single,23,2,1.01175,1
male,2,married,26,0,2.056,0
male,2,single,34,2,0.7751736842105263,1
female,2,married,33,0,0.94495,0
male,1,single,35,-1,0.21905,0
female,2,single,27,0,0.8193466666666667,0
female,1,single,31,-1,0.03109047619047619,0
female,3,married,50,0,0.9337041666666667,1
female,2,others,41,0,0.14815714285714285,1
female,1,single,28,2,0.35835,0
male,1,single,39,0,0.97606,0
female,2,single,27,0,0.56598,0
female,1,single,32,2,0.032516666666666666,0
female,1,single,40,2,0.004633333333333333,0
female,2,single,40,0,0.97875,0
female,2,married,75,0,0.204972,0
female,2,single,27,0,0.35979,0
male,1,single,25,2,0.15473636363636364,0
male,3,married,46,0,0.68304,0
female,2,single,26,2,1.027,0
male,2,single,28,0,0.9434666666666667,0
female,2,single,26,0,0.7422428571428571,1
female,1,single,28,0,0.54418125,0
female,2,single,29,0,0.0410125,0
male,2,married,25,0,0.57868,0
female,2,married,48,0,0.14295714285714287,0
female,2,married,33,0,0.3189125,0
female,3,married,43,0,0.6217,0
male,1,married,48,2,0.9295545454545454,1
female,1,single,29,0,0.2013450980392157,0
male,2,single,29,0,0.95348,0
female,1,married,38,2,0.11838125,0
female,1,single,37,-2,0.22093478260869565,0
female,1,single,37,-1,0.1609,0
female,2,married,25,-1,0.04104,0
male,3,single,23,2,0.9729,0
female,3,single,49,0,0.678976923076923,1
female,1,single,48,0,0.854325,0
male,2,single,27,3,0.2976,1
male,3,single,32,0,0.67968,0
male,1,married,34,2,0.01125,0
female,1,single,58,1,0.0,1
female,2,single,33,0,0.075625,0
female,2,single,28,-2,0.0,1
female,2,single,36,0,0.9301142857142857,0
male,1,married,40,2,0.04898913043478261,1
female,1,single,26,-1,0.0168,0
male,3,married,33,0,0.99926,0
female,2,married,31,0,0.396436,0
female,1,single,27,0,0.06046666666666667,0
male,2,married,44,0,0.4351111111111111,0
female,3,single,30,0,0.86785,0
female,1,single,28,0,0.53265,0
female,3,married,32,0,0.8266347826086956,0
female,1,married,46,-1,0.32552380952380955,0
male,1,single,38,2,0.29363333333333336,0
female,2,married,46,0,0.39693181818181816,0
female,2,single,25,2,0.69586,1
female,2,married,46,0,0.04485416666666667,0
male,1,single,33,-1,0.0020464285714285714,1
female,2,single,22,1,0.0,1
male,2,married,43,3,0.087,0
male,2,single,27,2,1.0227,1
male,1,single,29,1,0.0,0
male,1,single,31,0,0.949395,0
female,2,married,29,-1,0.011858333333333334,0
female,2,married,36,0,0.6830904761904761,0
female,1,married,36,0,0.2211607142857143,0
male,1,single,34,1,0.06464,1
male,2,single,37,0,0.9589,0
female,1,single,36,-2,0.0,0
female,3,married,40,0,1.00014,0
female,1,single,25,2,1.191,1
female,1,single,27,0,0.02267,0
female,2,single,26,-2,0.05185454545454545,0
female,2,married,36,-1,0.047912,0
female,2,married,27,1,0.017383333333333334,0
male,3,married,55,4,0.4338,1
female,1,single,27,-1,0.1956,0
female,2,married,38,0,0.01329,0
female,2,married,34,0,0.7891222222222222,0
male,1,single,40,2,0.82835,0
female,3,married,49,2,0.284915,1
male,1,single,27,0,0.54103,0
male,2,single,23,0,0.7922833333333333,1
female,2,single,36,0,0.4677454545454545,0
female,3,married,53,1,0.0002846153846153846,0
female,3,married,46,3,1.01908,0
male,2,single,29,1,-1.1111111111111112e-05,0
male,2,single,29,2,0.5145272727272727,1
female,1,single,27,0,0.5137617647058823,0
male,2,single,24,0,0.1417,0
female,2,married,28,0,0.10717826086956522,1
female,2,single,32,0,0.25205,0
male,2,single,43,1,0.20035714285714284,0
female,2,married,41,2,0.004318181818181818,1
female,2,married,34,2,0.5030666666666667,1
male,2,married,55,-1,0.10689411764705882,0
male,1,married,40,2,0.70152,0
female,2,married,37,2,0.071965,1
female,2,single,40,2,0.09533846153846154,1
female,1,single,28,2,0.41428333333333334,0
female,2,married,43,1,0.19597,0
male,1,single,27,0,0.9624,0
female,1,single,28,0,0.8131368421052632,0
female,1,single,30,0,0.5922615384615385,0
female,2,single,31,-2,0.002785714285714286,0
female,2,married,31,0,0.97228,1
female,1,single,34,0,0.04344166666666667,0
female,2,single,30,-2,0.00038333333333333334,0
male,2,single,36,0,0.09944,0
female,1,single,29,2,0.124075,0
male,1,married,39,0,1.4651722222222223,0
female,1,single,26,0,0.7775722222222222,0
female,1,single,29,0,0.0292625,0
female,2,single,26,0,0.03159,0
female,2,single,29,0,0.96818,1
female,2,single,31,0,0.9798142857142857,0
female,2,single,26,0,0.6693666666666667,1
male,1,single,26,0,0.41763333333333336,0
male,1,married,36,1,0.01716,0
male,1,single,30,1,0.0,1
female,2,single,43,0,0.943775,0
male,3,married,58,2,0.3744,0
male,2,married,45,0,0.16459444444444443,1
female,2,single,26,0,0.5623583333333333,0
male,2,single,34,0,0.49734736842105265,0
female,4,single,24,0,0.7341363636363636,0
male,1,married,34,-1,0.18986923076923076,0
female,2,single,23,4,1.018458,1
female,2,single,30,0,0.22534375,0
male,2,single,32,4,0.91468,0
male,1,married,40,1,0.01878181818181818,1
female,1,single,35,-2,0.0020043478260869567,0
female,2,married,56,1,0.025127272727272727,0
female,2,married,61,0,0.99002,0
male,2,single,24,2,0.2989,0
male,1,married,40,1,0.0,0
female,2,married,32,3,1.03155,1
male,2,married,36,2,0.4641,1
male,1,single,30,-1,0.03726875,0
female,1,single,34,2,0.5524222222222223,0
male,3,others,54,0,0.8647666666666667,0
male,1,married,46,0,0.9551555555555555,0
male,3,married,58,0,0.6933333333333334,0
male,2,married,43,2,0.8394333333333334,0
female,1,single,28,0,0.07565,0
male,1,single,30,0,0.32812380952380954,0
male,2,single,31,0,0.37052,1
female,2,single,29,0,0.6785,0
female,2,married,37,2,0.06362,1
male,3,married,36,0,0.6971,0
female,2,single,28,2,0.03408235294117647,1
male,2,single,25,0,0.37775,0
female,5,married,42,0,0.8182048780487805,0
female,1,single,29,1,1.0,0
male,3,married,73,2,0.873975,1
male,2,married,43,0,1.0477733333333332,0
male,1,married,30,0,0.0032307692307692306,1
male,1,married,38,1,0.0,0
female,2,married,39,1,0.1294,1
male,2,married,44,0,0.32063548387096774,0
female,2,single,29,0,0.13724285714285714,0
male,1,married,51,-1,0.06944444444444445,0
female,1,single,27,0,0.9853714285714286,0
male,1,single,38,0,0.43011,0
female,2,single,22,-2,0.01696,0
female,2,married,30,0,0.4996333333333333,0
female,2,single,25,2,1.00685,0
male,1,single,29,0,0.7450916666666667,0
female,3,others,42,0,0.6639,0
male,1,single,41,2,0.015626666666666667,1
male,2,married,48,0,0.9053333333333333,0
female,1,single,29,2,1.0631125,1
male,1,married,52,-2,0.40877,0
female,2,married,25,0,0.178275,0
male,1,married,37,2,1.013474,0
female,1,single,27,0,0.1725,0
male,1,single,31,0,0.6301964285714285,0
female,1,single,23,2,0.5294166666666666,1
female,1,married,38,-1,0.001085,0
female,1,married,32,1,0.01653478260869565,0
female,2,single,27,2,0.05942608695652174,1
female,3,married,41,-2,0.3977645833333333,0
female,3,married,35,-1,0.35,0
female,1,single,31,-2,0.068715,0
female,1,single,30,2,0.389,0
male,2,married,48,0,0.81418,0
female,1,single,36,1,0.0,1
male,1,single,24,2,1.0000666666666667,0
female,1,single,29,0,0.36725,0
female,2,single,38,-1,0.03235652173913044,0
male,2,married,38,2,0.52962,1
female,2,married,30,0,0.4071326530612245,0
female,2,married,32,-1,0.140775,0
female,3,single,49,2,0.7707,1
female,1,single,31,0,0.0023411764705882354,1
male,1,single,27,0,0.9555714285714285,0
female,2,single,33,0,0.9838142857142858,0
female,2,single,25,0,0.9854888888888889,0
female,1,single,27,0,0.7483589743589744,1
female,1,single,29,0,0.46096363636363635,0
female,1,married,36,0,0.2816534482758621,0
male,3,married,55,0,0.04293333333333333,0
female,2,married,32,2,0.8492074074074074,1
female,1,single,27,2,0.23453333333333334,0
male,3,married,37,0,0.5481727272727273,0
female,1,married,25,0,0.97088,0
female,1,single,23,0,0.92265,1
male,2,single,23,0,0.2432,0
male,1,single,32,2,0.93381,0
female,1,single,26,1,0.09983333333333333,0
female,1,single,27,0,0.611775,0
male,1,single,44,0,0.9754541666666666,1
male,2,single,34,0,0.1622909090909091,0
female,1,single,28,0,0.88708125,0
female,1,married,53,0,0.24923333333333333,0
male,4,married,42,0,0.183805,0
female,3,married,30,2,0.6557071428571428,0
male,1,married,51,1,0.0,1
male,1,married,53,2,0.7785833333333333,1
male,2,single,37,0,0.9912076923076923,0
female,1,single,26,0,0.783035,0
male,2,single,42,0,0.9594125,0
male,2,single,39,0,0.950175,0
male,3,single,39,2,0.5939769230769231,0
male,1,single,32,0,0.5155,0
female,2,married,41,-1,0.05438695652173913,0
male,2,married,48,0,0.6975285714285714,1
female,2,married,38,0,0.8556611111111111,0
female,2,married,36,-1,0.070875,0
female,2,single,26,0,0.3344310344827586,0
female,1,single,28,0,0.5357434782608695,0
female,3,others,56,1,0.011711764705882352,0
male,1,married,59,0,0.8735782608695652,1
male,1,single,38,0,0.9627818181818182,1
male,2,single,32,0,0.11644347826086957,0
male,2,married,38,0,0.098698,0
female,1,married,41,-1,0.06536666666666667,0
female,3,single,35,0,0.9340717948717949,1
female,2,single,41,0,0.9242625,0
male,2,married,34,-1,0.009166666666666667,0
male,3,married,38,2,0.5833666666666667,0
female,2,married,32,-1,0.05366666666666667,0
female,2,single,29,0,0.48985,0
male,1,single,44,0,0.98186,0
female,2,married,37,2,1.0424571428571427,0
female,1,married,38,2,0.0012,0
male,1,single,31,-2,0.0,0
female,2,married,40,2,0.530664,0
male,2,single,26,2,1.0442357142857144,1
female,2,single,28,2,0.5799857142857143,0
male,3,married,48,2,0.8433777777777778,0
female,2,married,43,-1,0.01135,0
male,2,married,31,0,0.9175263157894736,0
female,1,married,42,-1,0.05723913043478261,0
male,2,married,39,0,0.294953125,0
female,2,married,36,0,0.0038909090909090907,1
female,1,married,34,-1,0.03903461538461538,0
female,2,single,32,-2,0.004622222222222222,0
female,2,married,43,2,0.9134333333333333,0
male,2,single,30,2,0.8534423076923077,0
female,2,single,28,0,0.14296470588235294,0
female,1,married,28,0,0.127675,1
male,1,married,41,-1,0.00564,0
female,3,single,47,0,0.979805,0
male,2,single,23,2,1.45385,0
female,1,married,49,-1,0.006556,0
male,1,married,38,2,1.03525,0
female,2,married,38,2,0.8376,0
female,2,married,35,2,0.34665555555555555,0
female,6,single,46,0,0.9665304347826087,0
female,1,married,33,0,0.17464615384615384,1
male,6,married,53,-2,0.0,0
male,1,single,35,-1,0.007625,0
female,2,single,43,0,0.560298,0
female,2,single,28,2,0.22076666666666667,0
female,2,married,30,2,0.2475875,0
male,1,single,26,-1,0.08705,0
male,2,married,31,2,0.007153846153846154,0
female,2,single,35,-1,0.0,1
male,1,single,28,-1,0.13601388888888888,0
male,2,single,23,2,0.63162,1
female,2,single,23,2,1.01245,0
male,3,married,56,0,0.9188,0
male,3,married,32,0,0.9590571428571428,0
male,2,married,47,0,0.3864,0
female,2,single,22,2,1.025,0
female,1,married,34,0,0.37343793103448275,0
female,1,married,31,0,0.6097,0
female,2,single,27,1,0.13675609756097562,0
male,1,single,28,0,0.30273333333333335,1
female,2,married,42,0,0.7793714285714286,1
female,1,single,32,0,0.34203333333333336,0
female,2,single,27,-1,0.058259090909090906,0
male,2,single,27,2,1.03795,0
female,2,married,45,2,0.265958064516129,1
male,1,single,26,1,0.007222222222222222,0
female,2,single,21,2,0.7205,0
male,2,single,23,0,0.63426,0
male,2,others,30,0,1.90168,0
male,2,single,46,2,0.6908,1
female,3,married,50,3,0.6247,1
male,1,single,26,-2,0.0324,0
male,2,single,25,0,0.06275,0
female,1,single,35,0,0.7427136363636364,0
male,2,married,44,0,0.7215833333333334,0
female,1,single,52,0,0.08332,0
female,2,married,40,2,0.8855727272727273,0
female,1,single,38,-1,0.001995,0
female,1,single,28,1,0.00212,0
female,2,married,36,3,0.9592666666666667,1
female,1,single,24,0,0.30091,0
female,1,married,34,0,0.03924166666666667,0
female,1,single,31,0,0.12036153846153846,0
female,1,married,41,1,-0.00029545454545454547,1
female,2,single,25,-2,0.0,0
female,1,single,28,0,0.08060434782608696,0
male,1,single,27,0,0.39510833333333334,0
male,3,married,52,2,0.06781,1
female,1,single,41,-1,0.1484421052631579,1
male,1,married,56,0,0.99146,1
female,1,married,42,1,0.02654166666666667,0
female,2,single,24,-2,0.9231,0
female,2,married,47,0,0.10631746031746031,0
female,1,married,33,-2,0.022275,0
female,2,single,32,2,0.7291454545454545,0
male,2,single,29,0,0.92095,0
female,3,married,53,0,0.3103,0
male,1,single,34,0,0.04892962962962963,0
female,2,single,52,-2,0.0058694444444444445,0
female,2,married,42,-1,0.0485,0
male,2,single,38,0,0.28665833333333335,0
female,1,single,45,2,0.010853846153846153,0
female,3,single,35,-2,0.026884,0
female,1,single,24,0,0.2513666666666667,1
male,1,single,28,-1,0.015447222222222222,0
male,3,single,26,0,0.67784,0
female,1,married,40,0,0.06574444444444444,0
female,1,single,29,1,0.23697,0
female,2,single,23,0,0.95538,0
male,1,single,33,-1,0.029937142857142857,0
female,2,single,60,0,0.02541875,1
female,3,married,49,-1,0.0293875,0
male,1,married,53,2,0.9512310344827586,1
female,1,single,28,0,0.15764814814814815,0
male,1,single,31,2,0.2988625,0
male,2,single,36,0,0.13262,0
male,2,married,35,-1,0.17906666666666668,0
male,2,single,28,1,0.026,1
male,2,single,33,0,0.35457777777777777,0
male,1,single,26,-1,0.1825875,0
female,3,single,53,0,0.9563125,0
male,2,single,42,0,0.98596,0
female,1,single,25,2,0.9028,0
male,1,married,43,1,0.0,1
male,3,single,25,2,0.11254285714285714,1
female,2,single,29,0,1.0129076923076923,0
female,2,married,31,0,0.19561923076923077,0
female,1,married,30,0,0.27756521739130435,0
male,1,single,34,0,0.52820625,0
male,1,married,35,0,0.67698,0
male,2,married,32,0,0.582525,0
male,3,single,46,0,0.5432636363636364,0
male,1,married,43,0,0.69794,0
male,2,single,29,0,0.7185638888888889,0
female,3,single,31,1,0.0,0
female,2,single,24,2,0.949925,0
female,2,married,36,2,0.18197666666666668,1
female,2,married,43,0,0.0797,0
male,3,married,59,-1,0.044,1
male,1,married,53,0,0.10738823529411765,0
female,2,single,28,2,0.21752857142857143,0
female,2,single,31,1,0.0,0
male,1,single,34,2,0.50202,0
female,2,married,36,0,0.17718,0
female,1,single,24,2,0.4008818181818182,0
female,3,married,36,-2,0.01895111111111111,0
female,2,married,34,-1,0.000855,0
male,1,single,43,0,0.19623181818181817,0
female,1,single,29,0,0.009111111111111111,1
male,2,married,37,0,0.94086,0
male,2,single,23,2,0.91625,0
female,2,married,37,2,0.6340947368421053,0
male,1,single,33,0,0.16014,0
female,1,married,37,1,0.002975,0
female,2,married,56,0,0.4918777777777778,0
male,1,single,25,0,0.9470166666666666,0
female,2,married,39,0,0.38759,0
female,2,married,39,0,0.23007333333333332,0
female,2,single,28,-1,0.001888888888888889,0
female,1,single,27,0,0.08471111111111111,0
female,2,married,37,1,0.0,0
female,1,single,24,-1,0.0054555555555555555,0
female,2,single,24,2,0.7958,0
male,1,married,46,0,0.8205714285714286,0
male,1,married,39,-1,0.0,0
male,3,married,48,0,0.9721,0
female,3,others,45,-1,0.024525,0
male,3,single,49,-1,0.0144,0
female,2,single,23,2,0.67662,0
female,3,married,25,0,0.7721,0
female,2,married,47,-2,0.0,0
male,3,married,56,0,0.38545454545454544,0
female,3,married,44,-1,0.0161,0
female,3,married,49,0,0.11258,0
male,2,married,41,0,0.41248,0
female,1,single,40,0,0.4147475,0
male,2,single,31,0,0.3363,0
male,2,married,42,0,0.52075,0
female,3,married,28,0,0.7511,0
female,2,single,32,0,0.28845714285714286,0
male,2,single,28,0,0.6930702702702702,0
female,2,married,31,2,0.8764333333333333,0
male,3,single,39,1,1.3951333333333333,0
male,3,married,31,2,0.5886666666666667,1
female,2,single,24,0,0.9339625,0
female,2,married,44,2,0.7116071428571429,1
female,2,single,46,8,1.05375,0
male,1,single,32,-2,0.002962962962962963,0
female,2,single,26,0,0.058320833333333336,0
female,1,single,22,0,0.9439,0
female,1,married,42,1,0.09333333333333334,1
male,2,single,33,0,0.8669,0
male,2,married,39,-2,0.005410714285714286,1
female,3,single,27,0,0.05618275862068965,0
female,1,single,28,0,0.25466315789473687,1
female,1,single,23,0,0.6095125,0
female,2,single,28,2,0.006528571428571429,0
female,1,married,33,-2,0.037825,0
male,2,married,40,0,0.49916666666666665,1
female,1,single,37,-1,0.2857142857142857,0
male,1,single,22,0,0.123,0
female,2,married,32,2,0.7614,0
female,3,married,43,0,0.9614,0
female,3,married,27,2,0.9623,0
female,2,married,35,0,0.8329,0
female,3,married,35,2,1.03384,0
female,1,married,30,2,0.3839,1
female,2,single,34,2,2.218933333333333,0
male,2,married,34,0,0.80565,1
female,1,single,28,2,0.92593,1
male,2,single,25,7,0.08,1
female,1,married,41,0,0.319840625,0
male,3,single,42,2,0.7195777777777778,1
male,2,single,40,2,0.8575157894736842,1
male,1,single,28,0,0.731615,0
female,2,single,31,0,0.024743333333333332,0
female,1,single,56,0,0.925,0
female,2,others,45,0,0.22834545454545455,0
female,1,single,29,-2,0.004452173913043478,0
female,1,married,35,0,0.026878260869565216,0
female,2,single,28,0,0.34636774193548386,0
male,1,married,40,0,0.7414875,0
male,1,married,47,0,0.4836972222222222,0
female,3,married,41,0,0.039,1
female,2,single,27,0,0.9744882352941177,0
male,1,married,40,0,0.9394285714285714,0
male,2,single,32,0,0.62715,0
male,2,single,35,0,0.3622666666666667,0
male,2,single,27,2,0.0068823529411764705,0
female,2,married,29,2,0.766175,1
male,1,single,30,2,0.8696,0
male,2,married,37,-2,0.1344625,0
female,1,single,29,-2,0.0,0
female,1,married,34,0,0.53972,0
female,2,single,34,2,0.0976888888888889,0
male,1,married,41,0,0.11356071428571429,0
female,1,single,31,2,0.13985,0
female,2,single,40,-1,0.0205875,0
female,1,married,27,-1,0.03642,0
female,3,single,22,0,0.8742,1
female,2,others,30,3,1.0503,1
female,2,others,22,4,0.8839333333333333,0
male,1,single,26,0,0.3612,1
male,2,married,38,2,1.13022,0
female,3,married,46,2,0.4891,0
male,2,single,24,2,0.4738,0
male,2,single,49,0,0.93,0
male,1,others,49,0,0.36304,0
female,2,married,42,0,1.5385666666666666,0
female,1,married,30,2,0.05246111111111111,0
male,2,married,42,1,0.027941176470588237,0
female,1,single,31,-2,0.005435,0
female,2,married,49,0,0.66698,0
female,2,single,27,0,0.52843125,0
female,2,married,33,0,0.9576571428571429,1
female,1,married,35,1,0.0,0
female,2,single,48,0,0.527175,0
female,2,single,22,2,1.0173333333333334,0
male,2,single,22,0,0.9293,1
female,1,single,27,1,2.777777777777778e-05,0
male,1,married,47,-1,0.03093125,0
female,2,single,34,2,0.3925125,0
male,2,married,45,2,0.9992,1
female,2,single,39,0,0.05371666666666667,0
male,2,single,33,-2,0.005706666666666666,0
female,2,single,29,0,0.39683939393939394,0
male,1,single,29,2,0.01955,1
female,3,single,26,0,0.24996,0
